file_location,filename,location,datetime,top,left,label,model_prob,ImageHeight,ImageWidth,GPSLongitude,GPSLatitude,GPSAltitude,Roll,Pitch,Yaw,FOV,Site,x,y,PixSize,meterx,metery
duke_turtles_r1/9Aug20159Aug20151RioBeach3KMLaneAM20150809cr7riobeach3kmlaneamimg_20150809_144009_to_20150809_144921,9Aug20159Aug20151RioBeach3KMLaneAM20150809cr7riobeach3kmlaneamimg_20150809_144016_IMG_6852_NIR.jpg,surprisebeach,2015:08:09 14:40:16,0.46916010498687666,0.6101778656126482,0,0.92944,3048,4048,-85.71215345,10.00456103,85.53364632,6.748073578,6.281423569,224.0028839,73.34058337,surprisebeach,496.0,44.0,0.031465342,15.6068095,1.384475036
duke_turtles_r1/6Aug20156Aug20157RioBeach3KMLanePM20150806surprisebeach3kmlanePMimg_20150807_004023_to_20150807_004912,6Aug20156Aug20157RioBeach3KMLanePM20150806surprisebeach3kmlanePMimg_20150807_004900_IMG_9788_NIR.jpg,surprisebeach,2015:08:07 00:49:00,0.7890419947506562,0.754693675889328,0,0.67255,3048,4048,-85.71209706,10.00368379,92.30271903,-2.093474865,5.054729462,64.81484222,73.34058337,surprisebeach,1081.0,-931.0,0.033955487,36.70588122,-31.6125582
duke_turtles_r1/6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173008_to_20150806_173938,6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173529_IMG_9368_NIR.jpg,surprisebeach,2015:08:06 17:35:29,0.46916010498687666,0.8831521739130435,0,0.069401,3048,4048,-85.72582082,9.989545437,84.83190883,-3.423736811,4.019081116,50.19961548,73.34058337,surprisebeach,1601.0,44.0,0.031207193,49.96271586,1.373116488
duke_turtles_r1/8Aug20158Aug20158RioBeach3KMLanePM20150807cr5surprisebeach3kmlaneimg_20150808_011710_to_20150808_012603,8Aug20158Aug20158RioBeach3KMLanePM20150807cr5surprisebeach3kmlaneimg_20150808_011938_IMG_6123_NIR.jpg,surprisebeach,2015:08:08 01:19:38,0.5544619422572179,0.7707509881422925,0,0.018224,3048,4048,-85.72158023,9.994828631,88.3490982,-0.572387099,3.641521692,217.8456116,73.34058337,surprisebeach,1146.0,-216.0,0.032501065,37.24622006,-7.02022996
duke_turtles_r1/6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173008_to_20150806_173938,6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173310_IMG_9350_NIR.jpg,surprisebeach,2015:08:06 17:33:10,0.7250656167979003,0.016057312252964428,0,0.98169,3048,4048,-85.72675643,9.989489165,86.51054384,-4.543134689,7.192899704,225.5114136,73.34058337,surprisebeach,-1909.0,-736.0,0.031824714,-60.7533789,-23.42298945
duke_turtles_r1/6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173008_to_20150806_173938,6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173758_IMG_9387_NIR.jpg,surprisebeach,2015:08:06 17:37:58,0.7890419947506562,0.3211462450592885,0,0.053189,3048,4048,-85.71650069,9.999229603,93.65963744,4.146193981,4.419544697,25.42444611,73.34058337,surprisebeach,-674.0,-931.0,0.034454658,-23.22243924,-32.07728624
duke_turtles_r1/6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173008_to_20150806_173938,6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173714_IMG_9382_NIR.jpg,surprisebeach,2015:08:06 17:37:14,0.3198818897637795,0.337203557312253,0,0.27054,3048,4048,-85.71888371,9.99666704,79.96565934,-2.244158745,-0.244836822,49.63045883,73.34058337,surprisebeach,-609.0,499.0,0.029417041,-17.91497809,14.67910356
duke_turtles_r1/6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173008_to_20150806_173938,6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173225_IMG_9344_NIR.jpg,surprisebeach,2015:08:06 17:32:25,0.8316929133858267,0.19268774703557312,0,0.54876,3048,4048,-85.72375314,9.992578742,85.50847626,-1.751817346,2.763331652,225.5274658,73.34058337,surprisebeach,-1194.0,-1061.0,0.031456082,-37.55856239,-33.37490343
duke_turtles_r1/6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173008_to_20150806_173938,6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173018_IMG_9323_NIR.jpg,surprisebeach,2015:08:06 17:30:18,0.42650918635170604,0.6904644268774703,0,0.74714,3048,4048,-85.71287313,10.00386706,85.30020921,-0.201972887,-0.496218055,230.3822021,73.34058337,surprisebeach,821.0,174.0,0.031379467,25.76254241,5.46002726
duke_turtles_r1/6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173008_to_20150806_173938,6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173024_IMG_9324_NIR.jpg,surprisebeach,2015:08:06 17:30:24,0.3198818897637795,0.40143280632411066,0,0.039706,3048,4048,-85.71337826,10.00328532,88.23335263,0.174105346,4.995728016,235.5437164,73.34058337,surprisebeach,-349.0,499.0,0.032458485,-11.32801133,16.19678411
duke_turtles_r1/6Aug20156Aug20157RioBeach3KMLanePM20150806surprisebeach3kmlanePMimg_20150807_004023_to_20150807_004912,6Aug20156Aug20157RioBeach3KMLanePM20150806surprisebeach3kmlanePMimg_20150807_004245_IMG_9732_NIR.jpg,surprisebeach,2015:08:07 00:42:45,0.8743438320209974,0.8992094861660079,0,0.21372,3048,4048,-85.72114296,9.995291661,93.77265239,5.765849113,2.919222593,211.0719299,73.34058337,surprisebeach,1666.0,-1191.0,0.034496233,57.4707234,-41.08501295
duke_turtles_r1/6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173008_to_20150806_173938,6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173559_IMG_9373_NIR.jpg,surprisebeach,2015:08:06 17:35:59,0.23458005249343833,0.8349802371541502,0,0.99528,3048,4048,-85.7232111,9.99221258,85.51641791,-9.626680374,2.332293272,50.76092911,73.34058337,surprisebeach,1406.0,759.0,0.031459004,44.23135949,23.87738396
duke_turtles_r1/9Aug20159Aug20151RioBeach3KMLaneAM20150809cr7riobeach3kmlaneamimg_20150809_144009_to_20150809_144921,9Aug20159Aug20151RioBeach3KMLaneAM20150809cr7riobeach3kmlaneamimg_20150809_144547_IMG_6898_NIR.jpg,surprisebeach,2015:08:09 14:45:47,0.8956692913385826,0.786808300395257,0,0.053239,3048,4048,-85.72679621,9.988556711,85.03897116,-2.394670486,5.81726265,40.84498978,73.34058337,surprisebeach,1211.0,-1256.0,0.031283365,37.88415517,-39.2919066
duke_turtles_r1/6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173008_to_20150806_173938,6Aug20156Aug20153RioBeach3KMLaneAM20150806cr4surprisebeach3kmlaneimg_20150806_173515_IMG_9366_NIR.jpg,surprisebeach,2015:08:06 17:35:15,0.23458005249343833,0.9313241106719368,0,0.098502,3048,4048,-85.72692558,9.988446692,90.47710487,-21.90667152,4.183496952,52.73180771,73.34058337,surprisebeach,1796.0,759.0,0.033283896,59.77787796,25.26247738
duke_turtles_r1/8Aug20158Aug20158RioBeach3KMLanePM20150807cr5surprisebeach3kmlaneimg_20150808_011710_to_20150808_012603,8Aug20158Aug20158RioBeach3KMLanePM20150807cr5surprisebeach3kmlaneimg_20150808_012030_IMG_6130_NIR.jpg,surprisebeach,2015:08:08 01:20:30,0.23458005249343833,0.8992094861660079,0,0.015424,3048,4048,-85.72502471,9.991254533,88.8306962,5.490962029,5.647194386,220.4171906,73.34058337,surprisebeach,1666.0,759.0,0.032678231,54.44193206,24.80277697
